version,task,horizon_years,method,n,n_converters,auc,ci_lo,ci_hi,delta_vs_ridge_all,delta_ci_lo,delta_ci_hi,delta_p
raw,CN_to_MCI,3,contrastive_hybrid_basic_finetune,78,13,0.5408284023668639,0.3607030980417529,0.7196969696969697,-0.0943957489047954,-0.311781581485053,0.12037581699346406,0.3996
raw,CN_to_MCI,4,ridge_dhat_finetune,71,15,0.5607142857142857,0.3917893638300648,0.7188382594417076,-0.028576717218475545,-0.14432428562816496,0.0952418388739144,0.6156
raw,CN_to_MCI,4,ridge_dhat_all,71,15,0.5892857142857143,0.4190782059950417,0.7493734335839599,,,,
raw,CN_to_MCI,4,direct_logistic,71,15,0.6047619047619048,0.4318181818181819,0.7723864003228408,0.01652282920377337,-0.2214366424535916,0.2347505224660397,0.868
raw,CN_to_MCI,4,contrastive_euclidean_probe,71,15,0.4630952380952381,0.3102161561264822,0.6236559139784944,-0.12538789737774514,-0.373174713281539,0.12623553519768554,0.33
raw,CN_to_MCI,4,contrastive_euclidean_s,71,15,0.5869047619047619,0.43112865638058506,0.7343405388471177,-0.0027098753172012484,-0.20262196390492532,0.18690720917014017,0.9948
raw,CN_to_MCI,4,contrastive_euclidean_finetune,71,15,0.6130952380952381,0.4285666919287609,0.7988697240259739,0.025250039056856365,-0.17046578068823828,0.21352707749766534,0.7836
raw,CN_to_MCI,4,contrastive_rank_kendall_basic_probe,71,15,0.5380952380952381,0.3620919913419913,0.711782581453634,-0.051801969370327154,-0.2712421608319441,0.15891148325358842,0.6444
raw,CN_to_MCI,4,contrastive_rank_kendall_basic_s,71,15,0.569047619047619,0.40318302387267907,0.720240617433414,-0.018907168967446375,-0.25599053414469236,0.21353758169934595,0.874
raw,CN_to_MCI,4,contrastive_rank_kendall_basic_finetune,71,15,0.5428571428571429,0.3620648604269294,0.73078431372549,-0.0447888731777904,-0.2631155711760596,0.16094353414983978,0.6796
raw,CN_to_MCI,4,contrastive_hybrid_basic_probe,71,15,0.3976190476190476,0.2490965821812596,0.5598066448801743,-0.1915535253666184,-0.38476190476190464,0.002570621468926452,0.0544
raw,CN_to_MCI,4,contrastive_hybrid_basic_s,71,15,0.6095238095238096,0.4585893865121806,0.75,0.020922530864859148,-0.21472670647206246,0.2589772727272728,0.8632
raw,CN_to_MCI,4,contrastive_hybrid_basic_finetune,71,15,0.5761904761904763,0.38181573802541546,0.7666737288135592,-0.011921892381755268,-0.23691715611974237,0.19926691729323265,0.9344
combat,MCI_to_AD,2,ridge_dhat_finetune,123,16,0.7505841121495327,0.6127331281157752,0.8691358024691358,0.05854778583612393,-0.039042084042083945,0.1771874594122299,0.2832
