run_set,stage,version,task,horizon_years,method,n,n_converters,auc,ci_lo,ci_hi,delta_vs_ridge_all,delta_p
budget20_eff128,frozen_feature,raw,CN_to_MCI,3.0,ridge_dhat_finetune,49,9.0,0.65,0.4679487179487179,0.8277777777777778,0.0,2.0
budget20_eff128,lora_euclidean,raw,CN_to_MCI,3.0,contrastive_euclidean_finetune,49,9.0,0.375,0.2205128205128205,0.5277777777777777,-0.2767089570640333,0.0148029605921184
budget20_eff128,lora_euclidean,raw,CN_to_MCI,3.0,contrastive_euclidean_probe,49,9.0,0.5972222222222222,0.4076923076923077,0.7790697674418605,-0.0538334276723057,0.4196839367873575
budget20_eff128,lora_euclidean,raw,CN_to_MCI,3.0,contrastive_euclidean_s,49,9.0,0.5472222222222223,0.3333333333333333,0.753881118881119,-0.1015691303252086,0.4364872974594919
budget20_eff128,lora_euclidean,raw,CN_to_MCI,3.0,contrastive_hybrid_basic_finetune,49,9.0,0.3888888888888888,0.227891156462585,0.558836898395722,-0.2637827187836459,0.0368073614722944
budget20_eff128,lora_euclidean,raw,CN_to_MCI,3.0,contrastive_hybrid_basic_probe,49,9.0,0.6472222222222221,0.4749679487179487,0.816343537414966,-0.0007534686174878,0.9981996399279855
budget20_eff128,lora_euclidean,raw,CN_to_MCI,3.0,contrastive_hybrid_basic_s,49,9.0,0.6499999999999999,0.4693799058084772,0.8227392344497608,0.0020549760517054,1.0014002800560111
budget20_eff128,lora_euclidean,raw,CN_to_MCI,3.0,contrastive_rank_kendall_basic_finetune,49,9.0,0.4555555555555555,0.2804878048780487,0.6356786900806836,-0.194568832946038,0.0328065613122624
budget20_eff128,lora_euclidean,raw,CN_to_MCI,3.0,contrastive_rank_kendall_basic_probe,49,9.0,0.5194444444444444,0.3361004273504274,0.7051282051282052,-0.1311810431199355,0.0996199239847969
budget20_eff128,lora_euclidean,raw,CN_to_MCI,3.0,contrastive_rank_kendall_basic_s,49,9.0,0.5944444444444444,0.4038115038115037,0.7861237373737374,-0.0552216236703168,0.4336867373474695
budget20_eff128,lora_euclidean,raw,CN_to_MCI,3.0,contrastive_regress_d_finetune,49,9.0,0.5361111111111111,0.3693138111888112,0.7027777777777777,-0.1133500067440399,0.1328265653130626
budget20_eff128,lora_euclidean,raw,CN_to_MCI,3.0,contrastive_regress_d_probe,49,9.0,0.5361111111111111,0.3636363636363636,0.7103917786626847,-0.1145280704437588,0.1748349669933986
budget20_eff128,lora_euclidean,raw,CN_to_MCI,3.0,contrastive_regress_d_s,49,9.0,0.6083333333333333,0.4054515098722415,0.8027777777777777,-0.0413263490062826,0.5521104220844169
budget20_eff128,lora_euclidean,raw,CN_to_MCI,3.0,direct_logistic,49,9.0,0.4861111111111111,0.3048780487804878,0.6743619558735838,-0.1651768704998585,0.2432486497299459
budget20_eff128,lora_euclidean,raw,CN_to_MCI,3.0,ridge_dhat_all,49,9.0,0.65,0.4679487179487179,0.8277777777777778,,
budget20_eff128,lora_euclidean,raw,CN_to_MCI,3.0,ridge_dhat_finetune,49,9.0,0.65,0.4679487179487179,0.8277777777777778,0.0,2.0
budget20_eff128,lora_hybrid_basic,raw,CN_to_MCI,3.0,contrastive_euclidean_finetune,49,9.0,0.375,0.217687074829932,0.5444444444444444,-0.2243162374752836,0.01000200040008
budget20_eff128,lora_hybrid_basic,raw,CN_to_MCI,3.0,contrastive_euclidean_probe,49,9.0,0.5583333333333333,0.375,0.7368421052631579,-0.0381817373151909,0.3336667333466693
budget20_eff128,lora_hybrid_basic,raw,CN_to_MCI,3.0,contrastive_euclidean_s,49,9.0,0.45,0.2679175475687103,0.6409090909090909,-0.1525125699652256,0.3940788157631526
