run_set,stage,method,CN_to_MCI_y2,CN_to_MCI_y3,CN_to_MCI_y4,MCI_to_AD_y2,MCI_to_AD_y3,MCI_to_AD_y4
old_full_20eff128_reference,full_hybrid_basic,contrastive_regress_d_probe,0.7454545454545455,0.5722222222222222,0.5420875420875421,0.7647058823529411,0.7467105263157894,0.6739130434782609
old_full_20eff128_reference,full_hybrid_basic,contrastive_regress_d_s,0.850909090909091,0.6305555555555555,0.6262626262626262,0.7731092436974789,0.7483552631578947,0.6897233201581028
old_full_20eff128_reference,full_hybrid_basic,direct_logistic,0.4836363636363637,0.3388888888888889,0.3063973063973063,0.6666666666666667,0.7302631578947367,0.624505928853755
old_full_20eff128_reference,full_hybrid_basic,ridge_dhat_all,0.8836363636363637,0.6472222222222223,0.6632996632996633,0.7563025210084033,0.7779605263157894,0.7450592885375494
old_full_20eff128_reference,full_hybrid_basic,ridge_dhat_finetune,0.8836363636363637,0.6472222222222223,0.6632996632996633,0.7563025210084033,0.7779605263157894,0.7450592885375494
old_full_20eff128_reference,full_regress_d,contrastive_euclidean_finetune,0.48,0.5277777777777778,0.4814814814814815,0.5910364145658263,0.7006578947368421,0.691699604743083
old_full_20eff128_reference,full_regress_d,contrastive_euclidean_probe,0.8545454545454545,0.725,0.7104377104377105,0.6918767507002801,0.787828947368421,0.6976284584980237
old_full_20eff128_reference,full_regress_d,contrastive_euclidean_s,0.7781818181818183,0.7944444444444445,0.7912457912457913,0.5504201680672268,0.5427631578947368,0.4367588932806324
old_full_20eff128_reference,full_regress_d,contrastive_hybrid_basic_finetune,0.5781818181818182,0.5055555555555555,0.5488215488215489,0.5560224089635855,0.6217105263157895,0.650197628458498
old_full_20eff128_reference,full_regress_d,contrastive_hybrid_basic_probe,0.8872727272727273,0.7694444444444444,0.7609427609427609,0.6932773109243698,0.800986842105263,0.7055335968379446
old_full_20eff128_reference,full_regress_d,contrastive_hybrid_basic_s,0.7745454545454545,0.7472222222222222,0.7373737373737373,0.6498599439775911,0.75,0.6699604743083004
old_full_20eff128_reference,full_regress_d,contrastive_rank_kendall_basic_finetune,0.6145454545454545,0.5444444444444444,0.478114478114478,0.3795518207282913,0.5888157894736843,0.6679841897233202
old_full_20eff128_reference,full_regress_d,contrastive_rank_kendall_basic_probe,0.6290909090909091,0.6694444444444445,0.5892255892255892,0.6414565826330533,0.6924342105263157,0.7351778656126482
old_full_20eff128_reference,full_regress_d,contrastive_rank_kendall_basic_s,0.8400000000000001,0.6972222222222222,0.6734006734006733,0.7408963585434174,0.8355263157894737,0.7549407114624507
old_full_20eff128_reference,full_regress_d,contrastive_regress_d_finetune,0.6036363636363636,0.5555555555555556,0.5387205387205387,0.4523809523809523,0.6792763157894737,0.7312252964426877
old_full_20eff128_reference,full_regress_d,contrastive_regress_d_probe,0.6436363636363637,0.6638888888888889,0.5925925925925926,0.6484593837535014,0.7483552631578947,0.741106719367589
old_full_20eff128_reference,full_regress_d,contrastive_regress_d_s,0.8,0.6722222222222223,0.6397306397306397,0.726890756302521,0.8174342105263158,0.7470355731225297
old_full_20eff128_reference,full_regress_d,direct_logistic,0.4581818181818182,0.5416666666666666,0.4882154882154882,0.669467787114846,0.7023026315789473,0.7015810276679842
old_full_20eff128_reference,full_regress_d,ridge_dhat_all,0.7854545454545454,0.7055555555555555,0.68013468013468,0.6974789915966386,0.774671052631579,0.741106719367589
old_full_20eff128_reference,full_regress_d,ridge_dhat_finetune,0.7854545454545454,0.7055555555555555,0.68013468013468,0.6974789915966386,0.774671052631579,0.741106719367589
